Using default parameters in config
iteration 0 batch 550 training_loss 0.6916632528527511
iteration 0 batch 560 training_loss 0.6886953974383626
iteration 0 batch 570 training_loss 0.6886953974383626
iteration 0 batch 580 training_loss 0.6931471805599453
iteration 0 batch 590 training_loss 0.6931471805599453
iteration 0 batch 600 training_loss 0.6872114697311684
iteration 0 batch 610 training_loss 0.6931471805599453
iteration 0 batch 620 training_loss 0.6901793251455568
iteration 0 batch 630 training_loss 0.6916632528527511
iteration 0 batch 640 training_loss 0.6872114697311684
iteration 0 batch 650 training_loss 0.6886953974383626
iteration 0 batch 660 training_loss 0.6886953974383626
iteration 0 batch 670 training_loss 0.6931471805599453
iteration 0 batch 680 training_loss 0.6857275420239741
iteration 0 batch 690 training_loss 0.6886953974383626
iteration 0 batch 700 training_loss 0.6872114697311684
iteration 0 batch 710 training_loss 0.6886953974383626
iteration 0 batch 720 training_loss 0.6886953974383626
iteration 0 batch 730 training_loss 0.6872114697311684
iteration 0 batch 740 training_loss 0.6901793251455568
iteration 0 batch 750 training_loss 0.6886953974383626
iteration 0 batch 760 training_loss 0.6916632528527511
iteration 0 batch 770 training_loss 0.6886953974383626
iteration 0 batch 780 training_loss 0.6901793251455568
iteration 0 batch 790 training_loss 0.6886953974383626
iteration 0 batch 800 training_loss 0.6886953974383626
iteration 0 batch 810 training_loss 0.6901793251455568
iteration 0 batch 820 training_loss 0.6901793251455568
iteration 0 batch 830 training_loss 0.6886953974383626
iteration 0 batch 840 training_loss 0.6916632528527511
iteration 0 batch 850 training_loss 0.6931471805599453
iteration 0 batch 860 training_loss 0.6872114697311684
iteration 0 batch 870 training_loss 0.6886953974383626
iteration 0 batch 880 training_loss 0.6931471805599453
iteration 0 batch 890 training_loss 0.6931471805599453
iteration 0 batch 900 training_loss 0.6872114697311684
iteration 0 batch 910 training_loss 0.6931471805599453
iteration 0 batch 920 training_loss 0.6916632528527511
iteration 0 batch 930 training_loss 0.6931471805599453
iteration 0 batch 940 training_loss 0.6901793251455568
iteration 0 batch 950 training_loss 0.6931471805599453
iteration 0 batch 960 training_loss 0.6916632528527511
iteration 0 batch 970 training_loss 0.6931471805599453
iteration 0 batch 980 training_loss 0.6901793251455568
iteration 0 batch 990 training_loss 0.6931471805599453
iteration 0 batch 1000 training_loss 0.6901793251455568
iteration 0 batch 1010 training_loss 0.6901793251455568
iteration 0 batch 1020 training_loss 0.6872114697311684
iteration 0 batch 1030 training_loss 0.6872114697311684
iteration 0 batch 1040 training_loss 0.6916632528527511
iteration 0 batch 1050 training_loss 0.6916632528527511
iteration 0 batch 1060 training_loss 0.6931471805599453
iteration 0 batch 1070 training_loss 0.6872114697311683
iteration 0 batch 1080 training_loss 0.6931471805599453
iteration 0 batch 1090 training_loss 0.6842436143167799
iteration 0 batch 1100 training_loss 0.6886953974383626
iteration 0 batch 1110 training_loss 0.6931471805599453
iteration 0 batch 1120 training_loss 0.6901793251455568
iteration 0 batch 1130 training_loss 0.6916632528527511
iteration 0 batch 1140 training_loss 0.6901793251455568
iteration 0 batch 1150 training_loss 0.6857275420239741
iteration 0 batch 1160 training_loss 0.6886953974383626
iteration 0 batch 1170 training_loss 0.6916632528527511
iteration 0 batch 1180 training_loss 0.6886953974383625
iteration 0 batch 1190 training_loss 0.6931471805599453
iteration 0 batch 1200 training_loss 0.6886953974383626
iteration 0 batch 1210 training_loss 0.6916632528527511
iteration 0 batch 1220 training_loss 0.6916632528527511
iteration 0 batch 1230 training_loss 0.6916632528527511
iteration 0 batch 1240 training_loss 0.6916632528527511
iteration 0 batch 1250 training_loss 0.6916632528527511
iteration 0 batch 1260 training_loss 0.6901793251455568
iteration 0 batch 1270 training_loss 0.6901793251455568
iteration 0 batch 1280 training_loss 0.6931471805599453
iteration 0 batch 1290 training_loss 0.6857275420239741
iteration 0 batch 1300 training_loss 0.6872114697311684
iteration 0 batch 1310 training_loss 0.6857275420239741
iteration 0 batch 1320 training_loss 0.6931471805599453
iteration 0 batch 1330 training_loss 0.6901793251455568
iteration 0 batch 1340 training_loss 0.6916632528527511
iteration 0 batch 1350 training_loss 0.6857275420239741
iteration 0 batch 1360 training_loss 0.6931471805599453
iteration 0 batch 1370 training_loss 0.6901793251455568
iteration 0 batch 1380 training_loss 0.6916632528527511
iteration 0 batch 1390 training_loss 0.6916632528527511
iteration 0 batch 1400 training_loss 0.6886953974383626
iteration 0 batch 1410 training_loss 0.6916632528527511
iteration 0 batch 1420 training_loss 0.6916632528527511
iteration 0 batch 1430 training_loss 0.6931471805599453
iteration 0 batch 1440 training_loss 0.6872114697311684
iteration 0 batch 1450 training_loss 0.6931471805599453
iteration 0 batch 1460 training_loss 0.6901793251455568
iteration 0 batch 1470 training_loss 0.6931471805599453
iteration 0 batch 1480 training_loss 0.6857275420239741
iteration 0 batch 1490 training_loss 0.6916632528527511
iteration 0 batch 1500 training_loss 0.6931471805599453
iteration 0 batch 1510 training_loss 0.6916632528527511
iteration 0 batch 1520 training_loss 0.6931471805599453
iteration 0 batch 1530 training_loss 0.6901793251455568
iteration 0 batch 1540 training_loss 0.6872114697311684
iteration 0 batch 1550 training_loss 0.6842436143167799
iteration 0 batch 1560 training_loss 0.6931471805599453
iteration 0 batch 1570 training_loss 0.6901793251455568
iteration 0 batch 1580 training_loss 0.6901793251455568
iteration 0 batch 1590 training_loss 0.6916632528527511
iteration 0 batch 1600 training_loss 0.6916632528527511
iteration 0 batch 1610 training_loss 0.6901793251455568
iteration 0 batch 1620 training_loss 0.6901793251455568
iteration 0 batch 1630 training_loss 0.6886953974383626
iteration 0 batch 1640 training_loss 0.6901793251455568
iteration 0 batch 1650 training_loss 0.6931471805599453
iteration 0 batch 1660 training_loss 0.6886953974383626
iteration 0 batch 1670 training_loss 0.6901793251455568
iteration 0 batch 1680 training_loss 0.6872114697311684
iteration 0 batch 1690 training_loss 0.6931471805599453
iteration 0 batch 1700 training_loss 0.6931471805599453
iteration 0 batch 1710 training_loss 0.6916632528527511
iteration 0 batch 1720 training_loss 0.6886953974383626
iteration 0 batch 1730 training_loss 0.6872114697311684
iteration 0 batch 1740 training_loss 0.6931471805599453
iteration 0 batch 1750 training_loss 0.6916632528527511
iteration 0 batch 1760 training_loss 0.6886953974383626
iteration 0 batch 1770 training_loss 0.6886953974383625
iteration 0 batch 1780 training_loss 0.6901793251455568
iteration 0 batch 1790 training_loss 0.6872114697311684
iteration 0 batch 1800 training_loss 0.6901793251455568
iteration 0 batch 1810 training_loss 0.6931471805599453
iteration 0 batch 1820 training_loss 0.6916632528527511
iteration 0 batch 1830 training_loss 0.6901793251455568
iteration 0 batch 1840 training_loss 0.6886953974383626
iteration 0 batch 1850 training_loss 0.6901793251455568
iteration 0 batch 1860 training_loss 0.6916632528527511
iteration 0 batch 1870 training_loss 0.6901793251455568
iteration 0 batch 1880 training_loss 0.6872114697311684
iteration 0 batch 1890 training_loss 0.6886953974383626
iteration 0 batch 1900 training_loss 0.6916632528527511
iteration 0 batch 1910 training_loss 0.6916632528527511
iteration 0 batch 1920 training_loss 0.6931471805599453
iteration 0 batch 1930 training_loss 0.6901793251455568
iteration 0 batch 1940 training_loss 0.6901793251455568
iteration 0 batch 1950 training_loss 0.6931471805599453
iteration 0 batch 1960 training_loss 0.6901793251455568
iteration 0 batch 1970 training_loss 0.6916632528527511
iteration 0 batch 1980 training_loss 0.6886953974383626
iteration 0 batch 1990 training_loss 0.6886953974383626
iteration 0 batch 2000 training_loss 0.6931471805599453
iteration 0 batch 2010 training_loss 0.6872114697311684
iteration 0 batch 2020 training_loss 0.6916632528527511
iteration 0 batch 2030 training_loss 0.6886953974383626
iteration 0 batch 2040 training_loss 0.6886953974383626
iteration 0 batch 2050 training_loss 0.6931471805599453
iteration 0 batch 2060 training_loss 0.6886953974383626
iteration 0 batch 2070 training_loss 0.6901793251455568
iteration 0 batch 2080 training_loss 0.6916632528527511
iteration 0 batch 2090 training_loss 0.6931471805599453
iteration 0 batch 2100 training_loss 0.6901793251455568
iteration 0 batch 2110 training_loss 0.6931471805599453
iteration 0 batch 2120 training_loss 0.6901793251455568
iteration 0 batch 2130 training_loss 0.6916632528527511
iteration 0 batch 2140 training_loss 0.6931471805599453
iteration 0 batch 2150 training_loss 0.6886953974383626
iteration 0 batch 2160 training_loss 0.6931471805599453
iteration 0 batch 2170 training_loss 0.6886953974383626
iteration 0 batch 2180 training_loss 0.6916632528527511
iteration 0 batch 2190 training_loss 0.6916632528527511
iteration 0 batch 2200 training_loss 0.6872114697311684
iteration 0 batch 2210 training_loss 0.6916632528527511
iteration 0 batch 2220 training_loss 0.6916632528527511
iteration 0 batch 2230 training_loss 0.6931471805599453
iteration 0 batch 2240 training_loss 0.6886953974383626
iteration 0 batch 2250 training_loss 0.6916632528527511
iteration 0 batch 2260 training_loss 0.6901793251455568
iteration 0 batch 2270 training_loss 0.6901793251455568
iteration 0 batch 2280 training_loss 0.6916632528527511
iteration 0 batch 2290 training_loss 0.6916632528527511
iteration 0 batch 2300 training_loss 0.6886953974383626
iteration 0 batch 2310 training_loss 0.6901793251455568
iteration 0 batch 2320 training_loss 0.6931471805599453
iteration 0 batch 2330 training_loss 0.6931471805599453
iteration 0 batch 2340 training_loss 0.6872114697311684
iteration 0 batch 2350 training_loss 0.6931471805599453
iteration 0 batch 2360 training_loss 0.6886953974383626
iteration 0 batch 2370 training_loss 0.6872114697311684
iteration 0 batch 2380 training_loss 0.6931471805599453
iteration 0 batch 2390 training_loss 0.6916632528527511
iteration 0 batch 2400 training_loss 0.6931471805599453
iteration 0 batch 2410 training_loss 0.6916632528527511
iteration 0 batch 2420 training_loss 0.6931471805599453
iteration 0 batch 2430 training_loss 0.6916632528527511
iteration 0 batch 2440 training_loss 0.6931471805599453
iteration 0 batch 2450 training_loss 0.6916632528527511
iteration 0 batch 2460 training_loss 0.6931471805599453
iteration 0 batch 2470 training_loss 0.6931471805599453
iteration 0 batch 2480 training_loss 0.6916632528527511
iteration 0 batch 2490 training_loss 0.6901793251455568
iteration 0 batch 2500 training_loss 0.6931471805599453
iteration 0 batch 2510 training_loss 0.6916632528527511
iteration 0 batch 2520 training_loss 0.6916632528527511
iteration 0 batch 2530 training_loss 0.6931471805599453
iteration 0 batch 2540 training_loss 0.6931471805599453
iteration 0 batch 2550 training_loss 0.6901793251455568
iteration 0 batch 2560 training_loss 0.6931471805599453
iteration 0 batch 2570 training_loss 0.6886953974383626
iteration 0 batch 2580 training_loss 0.6916632528527511
iteration 0 batch 2590 training_loss 0.6916632528527511
iteration 0 batch 2600 training_loss 0.6901793251455568
iteration 0 batch 2610 training_loss 0.6886953974383626
iteration 0 batch 2620 training_loss 0.6886953974383625
iteration 0 batch 2630 training_loss 0.6901793251455568
iteration 0 batch 2640 training_loss 0.6901793251455568
iteration 0 batch 2650 training_loss 0.6931471805599453
iteration 0 batch 2660 training_loss 0.6916632528527511
iteration 0 batch 2670 training_loss 0.6931471805599453
iteration 0 batch 2680 training_loss 0.6916632528527511
iteration 0 batch 2690 training_loss 0.6916632528527511
iteration 0 batch 2700 training_loss 0.6916632528527511
iteration 0 batch 2710 training_loss 0.6931471805599453
iteration 0 batch 2720 training_loss 0.6886953974383626
iteration 0 batch 2730 training_loss 0.6872114697311684
iteration 0 batch 2740 training_loss 0.6901793251455568
iteration 0 batch 2750 training_loss 0.6872114697311684
iteration 0 batch 2760 training_loss 0.6931471805599453
iteration 0 batch 2770 training_loss 0.6931471805599453
iteration 0 batch 2780 training_loss 0.6931471805599453
iteration 0 batch 2790 training_loss 0.6931471805599453
iteration 0 batch 2800 training_loss 0.6901793251455568
iteration 0 batch 2810 training_loss 0.6931471805599453
iteration 0 batch 2820 training_loss 0.6931471805599453
iteration 0 batch 2830 training_loss 0.6916632528527511
iteration 0 batch 2840 training_loss 0.6901793251455568
iteration 0 batch 2850 training_loss 0.6931471805599453
iteration 0 batch 2860 training_loss 0.6931471805599453
iteration 0 batch 2870 training_loss 0.6886953974383626
iteration 0 batch 2880 training_loss 0.6916632528527511
iteration 0 batch 2890 training_loss 0.6916632528527511
iteration 0 batch 2900 training_loss 0.6886953974383626
iteration 0 batch 2910 training_loss 0.6931471805599453
iteration 0 batch 2920 training_loss 0.6916632528527511
iteration 0 batch 2930 training_loss 0.6872114697311684
iteration 0 batch 2940 training_loss 0.6886953974383626
iteration 0 batch 2950 training_loss 0.6901793251455568
iteration 0 batch 2960 training_loss 0.6901793251455568
iteration 0 batch 2970 training_loss 0.6916632528527511
iteration 0 batch 2980 training_loss 0.6916632528527511
iteration 0 batch 2990 training_loss 0.6886953974383626
iteration 0 batch 3000 training_loss 0.6916632528527511
iteration 0 batch 3010 training_loss 0.6872114697311684
iteration 0 batch 3020 training_loss 0.6901793251455568
iteration 0 batch 3030 training_loss 0.6886953974383626
iteration 0 batch 3040 training_loss 0.6931471805599453
iteration 0 batch 3050 training_loss 0.6916632528527511
iteration 0 batch 3060 training_loss 0.6916632528527511
iteration 0 batch 3070 training_loss 0.6886953974383626
iteration 0 batch 3080 training_loss 0.6931471805599453
iteration 0 batch 3090 training_loss 0.6886953974383626
iteration 0 batch 3100 training_loss 0.6886953974383626
iteration 0 batch 3110 training_loss 0.6916632528527511
iteration 0 batch 3120 training_loss 0.6931471805599453
iteration 0 batch 3130 training_loss 0.6916632528527511
iteration 0 batch 3140 training_loss 0.6931471805599453
iteration 0 batch 3150 training_loss 0.6916632528527511
iteration 0 batch 3160 training_loss 0.6916632528527511
iteration 0 batch 3170 training_loss 0.6901793251455568
iteration 0 batch 3180 training_loss 0.6916632528527511
iteration 0 batch 3190 training_loss 0.6872114697311684
iteration 0 batch 3200 training_loss 0.6901793251455568
iteration 0 batch 3210 training_loss 0.6916632528527511
iteration 0 batch 3220 training_loss 0.6886953974383626
iteration 0 batch 3230 training_loss 0.6916632528527511
iteration 0 batch 3240 training_loss 0.6916632528527511
iteration 0 batch 3250 training_loss 0.6916632528527511
iteration 0 batch 3260 training_loss 0.6931471805599453
iteration 0 batch 3270 training_loss 0.6931471805599453
iteration 0 batch 3280 training_loss 0.6931471805599453
iteration 0 batch 3290 training_loss 0.6931471805599453
iteration 0 batch 3300 training_loss 0.6916632528527511
iteration 0 batch 3310 training_loss 0.6931471805599453
iteration 0 batch 3320 training_loss 0.6931471805599453
iteration 0 batch 3330 training_loss 0.6931471805599453
iteration 0 batch 3340 training_loss 0.6931471805599453
iteration 0 batch 3350 training_loss 0.6931471805599453
iteration 0 batch 3360 training_loss 0.6916632528527511
iteration 0 batch 3370 training_loss 0.6901793251455568
iteration 0 batch 3380 training_loss 0.6916632528527511
iteration 0 batch 3390 training_loss 0.6901793251455568
iteration 0 batch 3400 training_loss 0.6901793251455568
iteration 0 batch 3410 training_loss 0.6931471805599453
iteration 0 batch 3420 training_loss 0.6886953974383626
iteration 0 batch 3430 training_loss 0.6916632528527511
iteration 0 batch 3440 training_loss 0.6931471805599453
iteration 0 batch 3450 training_loss 0.6901793251455568
iteration 0 batch 3460 training_loss 0.6916632528527511
iteration 0 batch 3470 training_loss 0.6857275420239741
iteration 0 batch 3480 training_loss 0.6901793251455568
iteration 0 batch 3490 training_loss 0.6931471805599453
iteration 0 batch 3500 training_loss 0.6931471805599453
iteration 0 batch 3510 training_loss 0.6931471805599453
iteration 0 batch 3520 training_loss 0.6916632528527511
iteration 0 batch 3530 training_loss 0.6916632528527511
iteration 0 batch 3540 training_loss 0.6916632528527511
iteration 0 batch 3550 training_loss 0.6901793251455568
iteration 0 batch 3560 training_loss 0.6901793251455568
iteration 0 batch 3570 training_loss 0.6931471805599453
iteration 0 batch 3580 training_loss 0.6931471805599453
iteration 0 batch 3590 training_loss 0.6916632528527511
iteration 0 batch 3600 training_loss 0.6916632528527511
iteration 0 batch 3610 training_loss 0.6931471805599453
iteration 0 batch 3620 training_loss 0.6886953974383626
iteration 0 batch 3630 training_loss 0.6916632528527511
iteration 0 batch 3640 training_loss 0.6916632528527511
iteration 0 batch 3650 training_loss 0.6886953974383626
iteration 0 batch 3660 training_loss 0.6901793251455568
iteration 0 batch 3670 training_loss 0.6901793251455568
iteration 0 batch 3680 training_loss 0.6931471805599453
iteration 0 batch 3690 training_loss 0.6916632528527511
iteration 0 batch 3700 training_loss 0.6931471805599453
iteration 0 batch 3710 training_loss 0.6931471805599453
iteration 0 batch 3720 training_loss 0.6916632528527511
iteration 0 batch 3730 training_loss 0.6931471805599453
iteration 0 batch 3740 training_loss 0.6916632528527511
iteration 0 batch 3750 training_loss 0.6901793251455568
iteration 0 batch 3760 training_loss 0.6916632528527511
iteration 0 batch 3770 training_loss 0.6931471805599453
iteration 0 batch 3780 training_loss 0.6931471805599453
iteration 0 batch 3790 training_loss 0.6901793251455568
iteration 0 batch 3800 training_loss 0.6916632528527511
iteration 0 batch 3810 training_loss 0.6916632528527511
iteration 0 batch 3820 training_loss 0.6916632528527511
iteration 0 batch 3830 training_loss 0.6931471805599453
iteration 0 batch 3840 training_loss 0.6901793251455568
iteration 0 batch 3850 training_loss 0.6901793251455568
iteration 0 batch 3860 training_loss 0.6916632528527511
iteration 0 batch 3870 training_loss 0.6931471805599453
iteration 0 batch 3880 training_loss 0.6931471805599453
iteration 0 batch 3890 training_loss 0.6916632528527511
iteration 0 batch 3900 training_loss 0.6916632528527511
iteration 0 batch 3910 training_loss 0.6931471805599453
iteration 0 batch 3920 training_loss 0.6872114697311684
iteration 0 batch 3930 training_loss 0.6901793251455568
iteration 0 batch 3940 training_loss 0.6901793251455568
iteration 0 batch 3950 training_loss 0.6916632528527511
iteration 0 batch 3960 training_loss 0.6916632528527511
iteration 0 batch 3970 training_loss 0.6916632528527511
iteration 0 batch 3980 training_loss 0.6916632528527511
iteration 0 batch 3990 training_loss 0.6916632528527511
iteration 0 batch 4000 training_loss 0.6916632528527511
iteration 0 batch 4010 training_loss 0.6931471805599453
iteration 0 batch 4020 training_loss 0.6916632528527511
iteration 0 batch 4030 training_loss 0.6916632528527511
iteration 0 batch 4040 training_loss 0.6901793251455568
iteration 0 batch 4050 training_loss 0.6931471805599453
iteration 0 batch 4060 training_loss 0.6916632528527511
iteration 0 batch 4070 training_loss 0.6931471805599453
iteration 0 batch 4080 training_loss 0.6901793251455568
iteration 0 batch 4090 training_loss 0.6872114697311684
iteration 0 batch 4100 training_loss 0.6901793251455568
iteration 0 batch 4110 training_loss 0.6916632528527511
iteration 0 batch 4120 training_loss 0.6916632528527511
iteration 0 batch 4130 training_loss 0.6916632528527511
iteration 0 batch 4140 training_loss 0.6916632528527511
iteration 0 batch 4150 training_loss 0.6886953974383626
iteration 0 batch 4160 training_loss 0.6916632528527511
iteration 0 batch 4170 training_loss 0.6931471805599453
iteration 0 batch 4180 training_loss 0.6916632528527511
iteration 0 batch 4190 training_loss 0.6916632528527511
iteration 0 batch 4200 training_loss 0.6886953974383626
iteration 0 batch 4210 training_loss 0.6901793251455568
iteration 0 batch 4220 training_loss 0.6931471805599453
iteration 0 batch 4230 training_loss 0.6901793251455568
iteration 0 batch 4240 training_loss 0.6931471805599453
iteration 0 batch 4250 training_loss 0.6872114697311684
iteration 0 batch 4260 training_loss 0.6916632528527511
iteration 0 batch 4270 training_loss 0.6901793251455568
iteration 0 batch 4280 training_loss 0.6916632528527511
iteration 0 batch 4290 training_loss 0.6931471805599453
iteration 0 batch 4300 training_loss 0.6916632528527511
iteration 0 batch 4310 training_loss 0.6901793251455568
iteration 0 batch 4320 training_loss 0.6931471805599453
iteration 0 batch 4330 training_loss 0.6931471805599453
iteration 0 batch 4340 training_loss 0.6916632528527511
iteration 0 batch 4350 training_loss 0.6916632528527511
iteration 0 batch 4360 training_loss 0.6886953974383626
iteration 0 batch 4370 training_loss 0.6916632528527511
iteration 0 batch 4380 training_loss 0.6931471805599453
iteration 0 batch 4390 training_loss 0.6916632528527511
iteration 0 batch 4400 training_loss 0.6931471805599453
iteration 0 batch 4410 training_loss 0.6931471805599453
iteration 0 batch 4420 training_loss 0.6886953974383626
iteration 0 batch 4430 training_loss 0.6886953974383626
iteration 0 batch 4440 training_loss 0.6931471805599453
iteration 0 batch 4450 training_loss 0.6916632528527511
iteration 0 batch 4460 training_loss 0.6886953974383626
iteration 0 batch 4470 training_loss 0.6931471805599453
iteration 0 batch 4480 training_loss 0.6916632528527511
iteration 0 batch 4490 training_loss 0.6916632528527511
iteration 0 batch 4500 training_loss 0.6872114697311684
iteration 0 batch 4510 training_loss 0.6916632528527511
iteration 0 batch 4520 training_loss 0.6931471805599453
iteration 0 batch 4530 training_loss 0.6931471805599453
iteration 0 batch 4540 training_loss 0.6916632528527511
iteration 0 batch 4550 training_loss 0.6916632528527511
iteration 0 batch 4560 training_loss 0.6931471805599453
iteration 0 batch 4570 training_loss 0.6842436143167799
iteration 0 batch 4580 training_loss 0.6916632528527511
iteration 0 batch 4590 training_loss 0.6916632528527511
iteration 0 batch 4600 training_loss 0.6857275420239741
iteration 0 batch 4610 training_loss 0.6931471805599453
iteration 0 batch 4620 training_loss 0.6901793251455568
iteration 0 batch 4630 training_loss 0.6931471805599453
iteration 0 batch 4640 training_loss 0.6916632528527511
iteration 0 batch 4650 training_loss 0.6901793251455568
iteration 0 batch 4660 training_loss 0.6916632528527511
iteration 0 batch 4670 training_loss 0.6931471805599453
iteration 0 batch 4680 training_loss 0.6901793251455568
iteration 0 batch 4690 training_loss 0.6931471805599453
iteration 0 batch 4700 training_loss 0.6901793251455568
iteration 0 batch 4710 training_loss 0.6931471805599453
iteration 0 batch 4720 training_loss 0.6916632528527511
iteration 0 batch 4730 training_loss 0.6916632528527511
iteration 0 batch 4740 training_loss 0.6886953974383626
iteration 0 batch 4750 training_loss 0.6931471805599453
iteration 0 batch 4760 training_loss 0.6931471805599453
iteration 0 batch 4770 training_loss 0.6916632528527511
iteration 0 batch 4780 training_loss 0.6916632528527511
iteration 0 batch 4790 training_loss 0.6916632528527511
iteration 0 batch 4800 training_loss 0.6916632528527511
iteration 0 batch 4810 training_loss 0.6916632528527511
iteration 0 batch 4820 training_loss 0.6901793251455568
iteration 0 batch 4830 training_loss 0.6931471805599453
iteration 0 batch 4840 training_loss 0.6931471805599453
iteration 0 batch 4850 training_loss 0.6931471805599453
iteration 0 batch 4860 training_loss 0.6931471805599453
iteration 0 batch 4870 training_loss 0.6916632528527511
iteration 0 batch 4880 training_loss 0.6931471805599453
iteration 0 batch 4890 training_loss 0.6901793251455568
iteration 0 batch 4900 training_loss 0.6931471805599453
iteration 0 batch 4910 training_loss 0.6931471805599453
iteration 0 batch 4920 training_loss 0.6916632528527511
iteration 0 batch 4930 training_loss 0.6901793251455568
iteration 0 batch 4940 training_loss 0.6916632528527511
iteration 0 batch 4950 training_loss 0.6872114697311684
iteration 0 batch 4960 training_loss 0.6901793251455568
iteration 0 batch 4970 training_loss 0.6931471805599453
iteration 0 batch 4980 training_loss 0.6916632528527511
iteration 0 batch 4990 training_loss 0.6901793251455568
iteration 0 batch 5000 training_loss 0.6916632528527511
iteration 0 batch 5010 training_loss 0.6886953974383626
iteration 0 batch 5020 training_loss 0.6931471805599453
iteration 0 batch 5030 training_loss 0.6931471805599453
iteration 0 batch 5040 training_loss 0.6931471805599453
iteration 0 batch 5050 training_loss 0.6916632528527511
iteration 0 batch 5060 training_loss 0.6916632528527511
iteration 0 batch 5070 training_loss 0.6901793251455568
iteration 0 batch 5080 training_loss 0.6916632528527511
iteration 0 batch 5090 training_loss 0.6916632528527511
iteration 0 batch 5100 training_loss 0.6916632528527511
iteration 0 batch 5110 training_loss 0.6931471805599453
iteration 0 batch 5120 training_loss 0.6916632528527511
iteration 0 batch 5130 training_loss 0.6931471805599453
iteration 0 batch 5140 training_loss 0.6901793251455568
iteration 0 batch 5150 training_loss 0.6931471805599453
iteration 0 batch 5160 training_loss 0.6931471805599453
iteration 0 batch 5170 training_loss 0.6916632528527511
iteration 0 batch 5180 training_loss 0.6931471805599453
iteration 0 batch 5190 training_loss 0.6931471805599453
iteration 0 batch 5200 training_loss 0.6916632528527511
iteration 0 batch 5210 training_loss 0.6916632528527511
iteration 0 batch 5220 training_loss 0.6931471805599453
iteration 0 batch 5230 training_loss 0.6931471805599453
iteration 0 batch 5240 training_loss 0.6916632528527511
iteration 0 batch 5250 training_loss 0.6916632528527511
iteration 0 batch 5260 training_loss 0.6931471805599453
iteration 0 batch 5270 training_loss 0.6916632528527511
iteration 0 batch 5280 training_loss 0.6931471805599453
iteration 0 batch 5290 training_loss 0.6901793251455568
iteration 0 batch 5300 training_loss 0.6916632528527511
iteration 0 batch 5310 training_loss 0.6886953974383626
iteration 0 batch 5320 training_loss 0.6901793251455568
iteration 0 batch 5330 training_loss 0.6916632528527511
iteration 0 batch 5340 training_loss 0.6916632528527511
iteration 0 batch 5350 training_loss 0.6916632528527511
iteration 0 batch 5360 training_loss 0.6916632528527511
iteration 0 batch 5370 training_loss 0.6931471805599453
iteration 0 batch 5380 training_loss 0.6916632528527511
iteration 0 batch 5390 training_loss 0.6916632528527511
iteration 0 batch 5400 training_loss 0.6886953974383626
